run_id,criterion_id,stratum,selection_probability,seed,sampling_script,condition,audit_id
run-014,T01-R02,T01|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0121
run-115,T05-R06,T05|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0122
run-096,T04-R07,T04|sol|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0123
run-095,T04-R02,T04|sol|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0124
run-113,T05-R05,T05|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0125
run-089,T04-R13,T04|sol|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0126
run-141,T06-R02,T06|sol|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0127
run-147,T08-R01,T08|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0128
run-027,T02-R07,T02|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0129
run-049,T03-R09,T03|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0130
run-128,T06-R02,T06|opus5|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0131
run-165,T08-R01,T08|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0132
run-191,T07-R02,T07|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0133
run-022,T01-R05,T01|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0134
run-044,T02-R10,T02|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0135
run-005,T01-R05,T01|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0136
run-004,T01-R10,T01|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0137
run-156,T08-R01,T08|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0138
run-103,T05-R08,T05|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0139
run-098,T05-R07,T05|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0140
run-003,T01-R07,T01|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0141
run-135,T06-R06,T06|grok|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0142
run-003,T01-R08,T01|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0143
run-045,T02-R01,T02|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0144
run-164,T08-R01,T08|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0145
run-083,T04-R06,T04|grok|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0146
