run_id,criterion_id,condition,stratum,selection_probability,seed,sampling_script,audit_id
run-088,T04-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0220
run-037,T02-R07,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0221
run-171,T07-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0222
run-077,T04-R06,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0223
run-081,T04-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0224
run-064,T03-R03,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0225
run-188,T07-R03,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0226
run-077,T04-R13,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0227
run-021,T01-R06,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0228
run-145,T08-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0229
run-068,T03-R04,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0230
run-002,T01-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0231
run-015,T01-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0232
run-104,T05-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0233
run-073,T04-R10,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0234
run-004,T01-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0235
run-033,T02-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0236
run-166,T08-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0237
run-124,T06-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0238
run-092,T04-R07,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0239
run-154,T08-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0240
run-115,T05-R01,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0241
run-058,T03-R08,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0242
run-087,T04-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0243
run-074,T04-R13,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0244
run-029,T02-R06,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0245
run-046,T02-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0246
run-129,T06-R06,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0247
run-171,T07-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0248
run-025,T02-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0249
run-078,T04-R09,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0250
run-109,T05-R06,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0251
run-059,T03-R02,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0252
run-001,T01-R01,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0253
run-063,T03-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0254
run-009,T01-R09,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0255
run-084,T04-R10,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0256
run-076,T04-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0257
run-106,T05-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0258
run-159,T08-R02,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0259
run-160,T08-R05,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0260
run-132,T06-R02,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0261
run-136,T06-R06,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0262
run-013,T01-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0263
run-084,T04-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0264
run-145,T08-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0265
